,관광지,날짜,버즈량,위치
315,1100고지습지,2021-11-12,5,서귀포시
316,1100고지습지,2021-11-13,0,서귀포시
317,1100고지습지,2021-11-14,0,서귀포시
318,1100고지습지,2021-11-15,5,서귀포시
319,1100고지습지,2021-11-16,7,서귀포시
320,1100고지습지,2021-11-17,1,서귀포시
321,1100고지습지,2021-11-18,2,서귀포시
322,1100고지습지,2021-11-19,2,서귀포시
323,1100고지습지,2021-11-20,2,서귀포시
324,1100고지습지,2021-11-21,3,서귀포시
325,1100고지습지,2021-11-22,3,서귀포시
326,1100고지습지,2021-11-23,3,서귀포시
327,1100고지습지,2021-11-24,1,서귀포시
328,1100고지습지,2021-11-25,2,서귀포시
329,1100고지습지,2021-11-26,2,서귀포시
330,1100고지습지,2021-11-27,3,서귀포시
331,1100고지습지,2021-11-28,0,서귀포시
332,1100고지습지,2021-11-29,5,서귀포시
333,1100고지습지,2021-11-30,3,서귀포시
334,1100고지습지,2021-12-01,5,서귀포시
335,1100고지습지,2021-12-02,2,서귀포시
336,1100고지습지,2021-12-03,6,서귀포시
337,1100고지습지,2021-12-04,3,서귀포시
338,1100고지습지,2021-12-05,4,서귀포시
339,1100고지습지,2021-12-06,4,서귀포시
340,1100고지습지,2021-12-07,3,서귀포시
341,1100고지습지,2021-12-08,1,서귀포시
342,1100고지습지,2021-12-09,2,서귀포시
343,1100고지습지,2021-12-10,2,서귀포시
344,1100고지습지,2021-12-11,3,서귀포시
345,1100고지습지,2021-12-12,3,서귀포시
346,1100고지습지,2021-12-13,2,서귀포시
347,1100고지습지,2021-12-14,7,서귀포시
348,1100고지습지,2021-12-15,2,서귀포시
349,1100고지습지,2021-12-16,2,서귀포시
350,1100고지습지,2021-12-17,3,서귀포시
351,1100고지습지,2021-12-18,2,서귀포시
352,1100고지습지,2021-12-19,4,서귀포시
353,1100고지습지,2021-12-20,6,서귀포시
354,1100고지습지,2021-12-21,5,서귀포시
355,1100고지습지,2021-12-22,6,서귀포시
356,1100고지습지,2021-12-23,5,서귀포시
357,1100고지습지,2021-12-24,5,서귀포시
358,1100고지습지,2021-12-25,6,서귀포시
359,1100고지습지,2021-12-26,3,서귀포시
360,1100고지습지,2021-12-27,7,서귀포시
361,1100고지습지,2021-12-28,7,서귀포시
362,1100고지습지,2021-12-29,3,서귀포시
363,1100고지습지,2021-12-30,5,서귀포시
364,1100고지습지,2021-12-31,5,서귀포시
365,가파도,2021-01-01,17,서귀포시
366,가파도,2021-01-02,18,서귀포시
367,가파도,2021-01-03,20,서귀포시
368,가파도,2021-01-04,32,서귀포시
369,가파도,2021-01-05,18,서귀포시
370,가파도,2021-01-06,29,서귀포시
371,가파도,2021-01-07,23,서귀포시
372,가파도,2021-01-08,18,서귀포시
373,가파도,2021-01-09,15,서귀포시
374,가파도,2021-01-10,26,서귀포시
375,가파도,2021-01-11,17,서귀포시
376,가파도,2021-01-12,15,서귀포시
377,가파도,2021-01-13,24,서귀포시
378,가파도,2021-01-14,28,서귀포시
379,가파도,2021-01-15,22,서귀포시
380,가파도,2021-01-16,20,서귀포시
381,가파도,2021-01-17,10,서귀포시
382,가파도,2021-01-18,15,서귀포시
383,가파도,2021-01-19,25,서귀포시
384,가파도,2021-01-20,17,서귀포시
385,가파도,2021-01-21,18,서귀포시
386,가파도,2021-01-22,24,서귀포시
387,가파도,2021-01-23,19,서귀포시
388,가파도,2021-01-24,19,서귀포시
389,가파도,2021-01-25,13,서귀포시
390,가파도,2021-01-26,19,서귀포시
391,가파도,2021-01-27,27,서귀포시
392,가파도,2021-01-28,22,서귀포시
393,가파도,2021-01-29,24,서귀포시
394,가파도,2021-01-30,19,서귀포시
395,가파도,2021-01-31,20,서귀포시
396,가파도,2021-02-01,11,서귀포시
397,가파도,2021-02-02,39,서귀포시
398,가파도,2021-02-03,30,서귀포시
399,가파도,2021-02-04,28,서귀포시
400,가파도,2021-02-05,20,서귀포시
401,가파도,2021-02-06,17,서귀포시
402,가파도,2021-02-07,24,서귀포시
403,가파도,2021-02-08,25,서귀포시
404,가파도,2021-02-09,26,서귀포시
405,가파도,2021-02-10,14,서귀포시
406,가파도,2021-02-11,19,서귀포시
407,가파도,2021-02-12,12,서귀포시
408,가파도,2021-02-13,25,서귀포시
409,가파도,2021-02-14,9,서귀포시
410,가파도,2021-02-15,30,서귀포시
411,가파도,2021-02-16,23,서귀포시
412,가파도,2021-02-17,21,서귀포시
413,가파도,2021-02-18,15,서귀포시
414,가파도,2021-02-19,25,서귀포시
415,가파도,2021-02-20,11,서귀포시
416,가파도,2021-02-21,11,서귀포시
417,가파도,2021-02-22,16,서귀포시
418,가파도,2021-02-23,14,서귀포시
419,가파도,2021-02-24,27,서귀포시
420,가파도,2021-02-25,32,서귀포시
421,가파도,2021-02-26,28,서귀포시
422,가파도,2021-02-27,33,서귀포시
423,가파도,2021-02-28,14,서귀포시
424,가파도,2021-03-01,17,서귀포시
425,가파도,2021-03-02,32,서귀포시
426,가파도,2021-03-03,28,서귀포시
427,가파도,2021-03-04,24,서귀포시
428,가파도,2021-03-05,20,서귀포시
429,가파도,2021-03-06,18,서귀포시
430,가파도,2021-03-07,14,서귀포시
431,가파도,2021-03-08,29,서귀포시
432,가파도,2021-03-09,24,서귀포시
433,가파도,2021-03-10,34,서귀포시
434,가파도,2021-03-11,47,서귀포시
435,가파도,2021-03-12,28,서귀포시
436,가파도,2021-03-13,14,서귀포시
437,가파도,2021-03-14,23,서귀포시
438,가파도,2021-03-15,33,서귀포시
439,가파도,2021-03-16,27,서귀포시
440,가파도,2021-03-17,40,서귀포시
441,가파도,2021-03-18,29,서귀포시
442,가파도,2021-03-19,43,서귀포시
443,가파도,2021-03-20,28,서귀포시
444,가파도,2021-03-21,34,서귀포시
445,가파도,2021-03-22,35,서귀포시
446,가파도,2021-03-23,39,서귀포시
447,가파도,2021-03-24,32,서귀포시
448,가파도,2021-03-25,42,서귀포시
449,가파도,2021-03-26,40,서귀포시
450,가파도,2021-03-27,35,서귀포시
451,가파도,2021-03-28,29,서귀포시
452,가파도,2021-03-29,35,서귀포시
453,가파도,2021-03-30,39,서귀포시
454,가파도,2021-03-31,60,서귀포시
455,가파도,2021-04-01,52,서귀포시
456,가파도,2021-04-02,42,서귀포시
457,가파도,2021-04-03,34,서귀포시
458,가파도,2021-04-04,29,서귀포시
459,가파도,2021-04-05,45,서귀포시
460,가파도,2021-04-06,43,서귀포시
461,가파도,2021-04-07,64,서귀포시
462,가파도,2021-04-08,64,서귀포시
