,관광지,날짜,버즈량,위치
1758,곽지해수욕장,2021-10-26,41,제주시
1759,곽지해수욕장,2021-10-27,37,제주시
1760,곽지해수욕장,2021-10-28,41,제주시
1761,곽지해수욕장,2021-10-29,43,제주시
1762,곽지해수욕장,2021-10-30,27,제주시
1763,곽지해수욕장,2021-10-31,39,제주시
1764,곽지해수욕장,2021-11-01,51,제주시
1765,곽지해수욕장,2021-11-02,77,제주시
1766,곽지해수욕장,2021-11-03,31,제주시
1767,곽지해수욕장,2021-11-04,26,제주시
1768,곽지해수욕장,2021-11-05,47,제주시
1769,곽지해수욕장,2021-11-06,28,제주시
1770,곽지해수욕장,2021-11-07,35,제주시
1771,곽지해수욕장,2021-11-08,56,제주시
1772,곽지해수욕장,2021-11-09,51,제주시
1773,곽지해수욕장,2021-11-10,65,제주시
1774,곽지해수욕장,2021-11-11,45,제주시
1775,곽지해수욕장,2021-11-12,27,제주시
1776,곽지해수욕장,2021-11-13,35,제주시
1777,곽지해수욕장,2021-11-14,29,제주시
1778,곽지해수욕장,2021-11-15,55,제주시
1779,곽지해수욕장,2021-11-16,31,제주시
1780,곽지해수욕장,2021-11-17,36,제주시
1781,곽지해수욕장,2021-11-18,36,제주시
1782,곽지해수욕장,2021-11-19,32,제주시
1783,곽지해수욕장,2021-11-20,25,제주시
1784,곽지해수욕장,2021-11-21,32,제주시
1785,곽지해수욕장,2021-11-22,45,제주시
1786,곽지해수욕장,2021-11-23,38,제주시
1787,곽지해수욕장,2021-11-24,52,제주시
1788,곽지해수욕장,2021-11-25,38,제주시
1789,곽지해수욕장,2021-11-26,35,제주시
1790,곽지해수욕장,2021-11-27,31,제주시
1791,곽지해수욕장,2021-11-28,25,제주시
1792,곽지해수욕장,2021-11-29,37,제주시
1793,곽지해수욕장,2021-11-30,32,제주시
1794,곽지해수욕장,2021-12-01,40,제주시
1795,곽지해수욕장,2021-12-02,29,제주시
1796,곽지해수욕장,2021-12-03,30,제주시
1797,곽지해수욕장,2021-12-04,34,제주시
1798,곽지해수욕장,2021-12-05,26,제주시
1799,곽지해수욕장,2021-12-06,32,제주시
1800,곽지해수욕장,2021-12-07,37,제주시
1801,곽지해수욕장,2021-12-08,39,제주시
1802,곽지해수욕장,2021-12-09,27,제주시
1803,곽지해수욕장,2021-12-10,28,제주시
1804,곽지해수욕장,2021-12-11,23,제주시
1805,곽지해수욕장,2021-12-12,25,제주시
1806,곽지해수욕장,2021-12-13,37,제주시
1807,곽지해수욕장,2021-12-14,30,제주시
1808,곽지해수욕장,2021-12-15,32,제주시
1809,곽지해수욕장,2021-12-16,27,제주시
1810,곽지해수욕장,2021-12-17,26,제주시
1811,곽지해수욕장,2021-12-18,24,제주시
1812,곽지해수욕장,2021-12-19,26,제주시
1813,곽지해수욕장,2021-12-20,34,제주시
1814,곽지해수욕장,2021-12-21,34,제주시
1815,곽지해수욕장,2021-12-22,22,제주시
1816,곽지해수욕장,2021-12-23,38,제주시
1817,곽지해수욕장,2021-12-24,34,제주시
1818,곽지해수욕장,2021-12-25,22,제주시
1819,곽지해수욕장,2021-12-26,16,제주시
1820,곽지해수욕장,2021-12-27,26,제주시
1821,곽지해수욕장,2021-12-28,42,제주시
1822,곽지해수욕장,2021-12-29,41,제주시
1823,곽지해수욕장,2021-12-30,39,제주시
1824,곽지해수욕장,2021-12-31,30,제주시
1825,관덕정,2021-01-01,2,제주시
1826,관덕정,2021-01-02,5,제주시
1827,관덕정,2021-01-03,3,제주시
1828,관덕정,2021-01-04,13,제주시
1829,관덕정,2021-01-05,6,제주시
1830,관덕정,2021-01-06,5,제주시
1831,관덕정,2021-01-07,7,제주시
1832,관덕정,2021-01-08,14,제주시
1833,관덕정,2021-01-09,6,제주시
1834,관덕정,2021-01-10,10,제주시
1835,관덕정,2021-01-11,14,제주시
1836,관덕정,2021-01-12,4,제주시
1837,관덕정,2021-01-13,4,제주시
1838,관덕정,2021-01-14,5,제주시
